MODULES,Classes,routes ,functions
,,,
application routes,admin Routes(14),/api/getAssignedspaces,getAssignedSpaces
,,/api/getSpaceUseCases,get_use_cases
,,/api/createHierarchy,create_spaces
,,/api/getUnassignedUsers,register
,,/api/assignHierarchy,register
,,/api/unassignHierarchy,register
,,/api/getCreatedHierarchy,getCreatedHierarchy
,,/api/getHierarchyRoles,getHierarchyRoles
,,/api/getHierarchyDetails,getHierarchyDetails
,,/api/deleteHierarchy,deleteHierarchy
,,/api/updateHierarchyName,updateHierarchyName
,,/api/getUserDetails,getUserDetails
,,/api/updateUserDetails,updateUserDetails
,,/api/addHierarchyConfig,addHierarchyConfig
,,,
,authenticationRoutes(7),/api/login,login
,,/api/newAccessToken,newAccessToken
,,/api/logout,logout
,,/api/register,register
,,/api/resetPassword,resetPassword
,,/api/verifyOtp,verifyOtp
,,/api/updatePassword,updatePassword
,,,
,super adminRoutes(15),/api/getUseCases,getUseCases
,,/api/createSpaces,createSpaces
,,/api/getSpaces,getSpaces
,,/api/getunassignedAdmins,getunassignedAdmins
,,/api/assignSpace,assignSpace
,,/api/getassignedAdmins,getassignedAdmins
,,/api/unassignSpace,unassignSpace
,,/api/getUnassignedUseCases,getUnassignedUseCases
,,/api/getAsssignedUseCases,getAsssignedUseCases
,,/api/assignUseCase,assignUseCases
,,/api/unassignUseCase,unassignUseCases
,,/api/deleteSpaces,deleteSpaces
,,/api/updateSpaceName,updateSpaceName
,,/api/getAdminDetails,getAdminDetails
,,/api/updateAdminDetails,updateAdminDetails
,,,
,user Routes(2),/api/getHierarchyAndSpaceNames,getHierarchyAndSpaceNames
,,/api/getUseCaseId,getUseCaseId
,,,
Application Management,hierarchy (18),,functions:
,,,load_config()
,,,initilizeApplicationDB
,,,initilizeUserDB
,,,initilizeHierarchyDB
,,,generate_hierarchy_id
,,,__init__
,,,createHierarchy
,,,getSpaceUseCases
,,,assignHierarchy
,,,unassignHierarchy
,,,getCreatedHierarchy
,,,getHierarchyRoles
,,,getHierarchyAndSpaceNames
,,,getUseCaseId
,,,getHierarchyDetails
,,,deleteHierarchy
,,,updateHierarchyName
,,,addHierarchyConfig
,,,
,spaces(20),,load_config()
,,,initilizeApplicationDB
,,,initilizeUserDB
,,,initilizeApplicationConfigDB
,,,initilizeHierarchyDB
,,,generate_space_id
,,,__init__
,,,createSpace
,,,getSpaces
,,,assignSpace
,,,unassignSpace
,,,getAssignedSpaces
,,,getSpaceUseCases
,,,getSpaceId
,,,getUnassignedUseCases
,,,getAssignedUseCases
,,,assignUseCase
,,,unassignUseCase
,,,deleteSpaces
,,,updateSpaceName
,,,
,usecases(6),,load_config()
,,,initilizeApplicationConfigDB
,,,___init___
,,,getUseCases
,,,getUseCasesRoles
,,,getUseCasesName
,,,
,,,
UserManagment,authentication(17),,functions:
,,,load_config()
,,,initilizeUserDB
,,,initilizeApplicationConfigDB
,,,getApplicationConfig
,,,__init__
,,,generateRefreshToken
,,,generateAccessToken
,,,verify_refresh_token
,,,login
,,,new_access_token
,,,logout
,,,generateOtp
,,,sendOtp
,,,resetPassword
,,,isOTPExpired
,,,verifyOtp
,,,updatePassword
,,,
,authorization(16),,functions:
,,,load_config()
,,,initilizeUserDB
,,,initilizeApplicationDB
,,,validateEmail
,,,validatePassword
,,,generateUserId
,,,__init__
,,,createUser
,,,getUnassignedAdmins
,,,getassignedAdmins
,,,getUnassignedUsers
,,,getassignedUsers
,,,getAdminDetails
,,,updateAdminDetails
,,,getUserDetails
,,,updateUserDetails
,,,
DataBase,applicationDataBase(27),,functons:
,,,__init__
,,,_get_application_db
,,,createSpace
,,,checkSpace
,,,getSpaces
,,,getSpaceUseCases
,,,createHierarchy
,,,checkHierarchy
,,,checkUseCaseId
,,,checkHierarchyRoles
,,,getspaceId
,,,getCreatedHierarchy
,,,getSpaceName
,,,getHierarchyRoles
,,,getHierarchyAndSpaceNames
,,,getUseCases
,,,getUnassignedUseCases
,,,getAssignedUseCases
,,,assignUseCase
,,,getHierarchyIds
,,,removeHierarchys
,,,removeUseCase
,,,getSpaceHiearchyIds
,,,removeSpace
,,,updateSpaceName
,,,getHierarchyDetails
,,,updateHierarchyName
,,,
,applicationSetup(10),,functions:
,,,__init__
,,,_get_application_db
,,,initializeConfigData
,,,initializeUseCaseConfig
,,,getApplicationConfig
,,,getUseCases
,,,getUseCaseRoles
,,,getUseCaseName
,,,checkUseCases
,,,getAgentIds
,,,
,hierarchyDataBase(4),,functions:
,,,__init__
,,,_get_hierarchy_db
,,,removeHierarchyDB
,,,addHierarchyConfig
,,,
DataBase,users(40),,functions:
,,,__init__
,,,_get_users_db
,,,createCollections
,,,checkExistingUser
,,,checkUser
,,,checkUserName
,,,checkEmail
,,,insertData
,,,getUserCredentials
,,,checkUserCredentials
,,,checkDeviceLogin
,,,checkActiveStatus
,,,addUserAttributes
,,,addRefreshToken
,,,deleteUserAttributes
,,,deleteRefreshTokens
,,,getRefreshToken
,,,updatepassword
,,,checkUserAttributes
,,,getUserId
,,,getUserInfo
,,,getAuthenticationDetails
,,,updateAuthnticationDetails
,,,checkRole
,,,assignSpace
,,,unassignedAdmins
,,,unassignSpaces
,,,assignedAdmins
,,,unassignedUsers
,,,assignedUsers
,,,checkHierarchyRole
,,,assignUseCaseRole
,,,unassignUseCaseRole
,,,getAssignedSpaces
,,,removeHierarchyRole
,,,removeSpaceRole
,,,getAdminDetails
,,,updateaAdminDetails
,,,getUserDetails
,,,updateUserDetails
